id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
652750,2025-01-02,quinta-feira,11:57:00,PE,232,16,JABOATAO DOS GUARARAPES,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,2,0,1,0,1,0,1,2,"-8,09414193","-35,03716601",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
652760,2025-01-02,quinta-feira,13:30:00,PR,116,104,SAO JOSE DOS PINHAIS,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta;Aclive,Não,5,0,1,0,3,2,1,5,"-25,56472785","-49,15859603",SPRF-PR,DEL01-PR,UOP07-DEL01-PR
652761,2025-01-02,quinta-feira,13:20:00,ES,262,"73,2",MARECHAL FLORIANO,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Ponte;Declive;Curva,Não,2,0,0,1,0,1,1,2,"-20,41066352","-40,88380166",SPRF-ES,DEL01-ES,UOP02-DEL01-ES
652762,2025-01-02,quinta-feira,13:01:00,PE,101,"46,5",IGARASSU,Reação tardia ou ineficiente do condutor,Colisão traseira,Sem Vítimas,Pleno dia,Crescente,Sol,Múltipla,Reta,Sim,3,0,0,0,2,1,0,3,"-7,87406004","-34,90588126",SPRF-PE,DEL01-PE,UOP02-DEL01-PE
652778,2025-01-02,quinta-feira,14:30:00,RJ,101,331,RIO DE JANEIRO,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva;Ponte,Não,4,0,1,1,2,0,2,2,"-22,867662","-43,195337",SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ
652781,2025-01-02,quinta-feira,11:30:00,CE,222,292,TIANGUA,Transitar na contramão,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Não,3,0,0,1,2,0,1,2,"-3,67390203","-40,88486128",SPRF-CE,DEL04-CE,UOP02-DEL04-CE
652793,2025-01-02,quinta-feira,06:50:00,MA,135,124,MIRANDA DO NORTE,Manobra de mudança de faixa,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,3,0,1,0,2,0,1,3,"-3,54575653","-44,57616778",SPRF-MA,DEL01-MA,UOP02-DEL01-MA
652796,2025-01-02,quinta-feira,14:00:00,RS,287,316,MATA,Condutor Dormindo,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,1,0,0,1,0,0,1,1,"-29,65140716","-54,53287505",SPRF-RS,DEL09-RS,UOP01-DEL09-RS
652806,2025-01-02,quinta-feira,14:00:00,RJ,116,257,PINHEIRAL,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Não,3,0,3,0,0,0,3,2,"-22,58631777","-44,01407302",SPRF-RJ,DEL07-RJ,UOP01-DEL07-RJ
652812,2025-01-02,quinta-feira,19:20:00,RS,290,"347,8",SAO SEPE,Ausência de reação do condutor,Colisão frontal,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Simples,Curva,Não,4,0,0,2,1,2,2,4,"-30,367035","-53,606186",SPRF-RS,DEL09-RS,UOP02-DEL09-RS
652819,2025-01-02,quinta-feira,19:40:00,TO,230,95,SAO BENTO DO TOCANTINS,Ultrapassagem Indevida,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Aclive,Não,2,0,1,0,1,0,1,2,"-6,03546808","-47,92978989",SPRF-TO,DEL02-TO,UOP03-DEL02-TO
652821,2025-01-02,quinta-feira,18:20:00,RJ,393,167,TRES RIOS,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Simples,Curva,Sim,3,0,1,0,1,1,1,2,"-22,12309905","-43,20363803",SPRF-RJ,DEL05-RJ,UOP01-DEL05-RJ
652829,2025-01-02,quinta-feira,15:30:00,PR,376,440,TIBAGI,Ausência de reação do condutor,Colisão com objeto,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Curva;Declive,Não,2,0,0,0,1,2,0,3,"-24,803598","-50,490267",SPRF-PR,DEL03-PR,UOP02-DEL03-PR
652830,2025-01-02,quinta-feira,15:00:00,PI,135,"49,5",JERUMENHA,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,0,1,2,0,3,"-7,13765891","-43,55761904",SPRF-PI,DEL03-PI,UOP01-DEL03-PI
652838,2025-01-02,quinta-feira,20:45:00,GO,364,299,MINEIROS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Fatais,Plena Noite,Crescente,Nublado,Simples,Reta,Sim,3,1,0,0,1,1,0,3,"-17,559059","-52,528431",SPRF-GO,DEL05-GO,UOP01-DEL05-GO
652842,2025-01-02,quinta-feira,17:15:00,PR,369,"413,2",JURANDA,Demais falhas mecânicas ou elétricas,Colisão frontal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,7,1,0,3,2,1,3,4,"-24,45282227","-52,84863369",SPRF-PR,DEL04-PR,UOP03-DEL04-PR
652849,2025-01-02,quinta-feira,21:30:00,MG,116,"551,9",SANTA BARBARA DO LESTE,Pedestre andava na pista,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,2,0,1,0,1,0,1,2,"-19,98476697","-42,1434265",SPRF-MG,DEL06-MG,UOP02-DEL06-MG
